"","county","mean_price","p7525_ratio"
"590",17129,2109.102,2.859847
"591",17131,977.6483,2.135381
"592",17133,1231.292,1.626994
"593",17135,2660.328,3.14135
"594",17137,2425.305,2.39335
"595",17139,1643.572,2.242781
"596",17141,1796.375,2.737278
"597",17143,1865.927,2.198139
"598",17145,2697.285,2.366893
"599",17147,2667.476,2.17536
"600",17151,1314.1,3.847
"601",17155,2501.467,1.335169
"602",17157,1644.269,2.098065
"603",17159,2875.258,2.251894
"604",17161,749.488,1.664905
"605",17163,1078.217,1.912857
"606",17165,2291.958,1.536099
"607",17167,2413.754,3.313107
"608",17169,4156.689,2.230376
"609",17171,2216.791,1.669089
"610",17173,2037.378,2.757624
"611",17175,1959.394,2.080549
"612",17177,2753.295,1.841331
"613",17179,1830.311,2.129317
"614",17181,2892.376,7.153167
"615",17183,2303.059,5.815984
"616",17185,2436.978,1.463727
"617",17187,2549.112,2.13915
"618",17189,1483.931,1.644399
"619",17191,2447.458,2.938762
"620",17193,2507.217,1.230204
"621",17195,2656.211,6.564546
"622",17197,2363.963,3.201449
"623",17199,3544.027,2.299884
"624",17201,1407.71,2.059979
"625",17203,1829.768,2.158451
"626",18001,2413.656,1.997036
"627",18003,2373.949,1.75608
"628",18005,2637.963,1.732475
"629",18007,2600.487,1.689396
"630",18009,2192.819,5.56161
"631",18011,2700.851,4.649376
"632",18013,2572.958,2.348831
"633",18015,2825.429,1.389175
"634",18017,2487.466,1.647034
"635",18019,1036.438,2.45012
"636",18021,3452.276,1.284028
"637",18023,2975.712,3.076079
"638",18025,1878.451,3.794116
"639",18027,2470.492,1.608575
"640",18029,1479.565,4.798287
"641",18031,2692.058,1.847865
"642",18033,2577.664,1.762011
"643",18035,2097.997,4.776557
"644",18037,2288.813,1.425298
"645",18039,1760.479,2.503907
"646",18041,2504.953,4.033984
"647",18043,1015.87,2.441624
"648",18045,2034.583,2.820492
"649",18047,2080.085,2.640218
"650",18049,2623.47,1.715514
"651",18051,2461.957,1.335556
"652",18053,2238.745,2.675411
"653",18055,2161.14,3.810938
"654",18057,2083.051,4.696456
"655",18059,2657.149,1.587449
"656",18061,1248.618,2.745856
"657",18063,2806.539,1.977839
"658",18065,2278.647,3.650662
"659",18069,2000.899,2.442853
"660",18071,2881.834,2.182226
"661",18073,1791.33,4.283098
"662",18077,2364.446,1.601344
"663",18079,3149.767,1.75489
"664",18081,2645.673,1.328672
"665",18083,2245.337,1.275477
"666",18085,2359.373,1.483511
"667",18087,2466.342,1.650491
"668",18089,2175.003,1.763345
"669",18091,2903.861,2.136487
"670",18093,3261.839,2.701507
"671",18095,2972.516,2.076965
"672",18097,2680.847,2.386767
"673",18099,1856.046,2.234201
"674",18101,2329.024,1.635046
"675",18103,3077.789,1.946193
"676",18105,1605.509,3.326087
"677",18107,2068.365,2.024889
"678",18109,2907.188,1.502663
"679",18111,1854.71,2.174789
"680",18113,2845.811,1.579461
"681",18115,1925.987,6.124347
"682",18117,2632.192,2.400592
"683",18119,2302.226,2.242259
"684",18121,2930.572,1.561562
"685",18123,1957.796,2.986212
"686",18125,2586.299,1.531363
"687",18127,1884.43,3.457592
"688",18129,2457.139,1.31953
"689",18131,2602.167,1.60723
"690",18133,2780.562,1.60527
"691",18135,2700.748,4.362576
"692",18137,2292.365,1.78283
"693",18139,2709.783,1.367137
"694",18141,1215.011,2.147673
"695",18145,2975.553,1.466958
"696",18147,2284.875,1.523791
"697",18149,2942.775,2.247921
"698",18151,2755.761,1.481197
"699",18153,3305.668,1.301165
"700",18155,2424.104,1.91006
"701",18157,2795.655,1.315052
"702",18159,2849.191,2.443607
"703",18163,2427.69,1.368293
"704",18165,3097.439,1.282287
"705",18167,3384.668,1.286929
"706",18169,2573.289,1.93486
"707",18171,2612.768,1.633094
"708",18173,2413.594,1.325678
"709",18175,1277.313,2.980264
"710",18177,2822.758,1.493846
"711",18179,2467.02,1.899002
"712",18181,2164.732,1.818333
"713",18183,2385.145,1.677345
"714",19001,1871.47,2.526071
"715",19003,2798.713,2.338968
"716",19005,2525.269,1.716764
"717",19007,3438.53,2.287116
"718",19009,3042.668,2.70354
"719",19011,2365.807,1.882062
"720",19013,1566.281,1.88403
"721",19015,2435.313,2.266987
"722",19017,1956.76,2.810912
"723",19019,1963.504,1.696944
"724",19023,1881.678,2.3373
"725",19027,2928.189,1.353063
"726",19029,3142.273,3.276901
"727",19031,1802.268,3.95157
"728",19033,1935.314,2.410708
"729",19035,2366.586,1.498295
"730",19037,2973.505,2.70996
"731",19039,1814.185,1.841347
"732",19041,2862.613,1.484091
"733",19043,2441.625,3.219027
"734",19045,2952.345,3.673546
"735",19047,2592.469,2.529691
"736",19049,1672.829,3.981887
"737",19055,2217.263,1.979064
"738",19057,3310.056,1.801585
"739",19059,3005.063,1.542716
"740",19061,1093.897,1.118545
"741",19063,3004.563,1.531499
"742",19065,1935.589,2.201843
"743",19069,2162.261,1.348018
"744",19071,2011.628,2.113199
"745",19073,2765.832,1.283956
"746",19075,1703.317,1.837409
"747",19077,2041.373,2.115981
"748",19079,2434.28,1.139673
"749",19081,2472.562,2.227041
"750",19083,2174.76,1.389632
"751",19085,2474.474,2.331392
"752",19089,3110.058,2.458049
"753",19095,2994.127,1.532065
"754",19097,1543.325,2.261139
"755",19099,2350.955,1.972575
"756",19101,2458.725,1.47559
"757",19103,2692.94,1.560643
"758",19105,2312.097,2.119764
"759",19107,2782.686,1.614049
"760",19109,2136.746,1.321921
"761",19111,2461.493,2.504135
"762",19113,2398.609,1.574467
"763",19115,2586.122,1.572526
"764",19117,1616.964,3.533773
"765",19119,3115.536,1.596199
"766",19121,1642.995,2.569796
"767",19123,2786.597,2.105693
"768",19125,2110.178,2.202901
"769",19127,2112.439,1.47139
"770",19129,2044.357,1.692588
"771",19131,2056.313,1.929497
"772",19133,2444.011,2.016396
"773",19137,2142.418,2.310478
"774",19139,2030.332,3.259753
"775",19141,2747.177,1.395062
"776",19145,2514.916,1.515128
"777",19149,2392.781,1.928456
"778",19153,1686.748,5.886449
"779",19155,2101.457,1.867056
"780",19157,3716.64,2.491729
"781",19161,2277.656,1.916309
"782",19163,888.3931,1.5
"783",19165,2198.011,2.169475
"784",19167,2709.229,1.62899
"785",19169,2414.954,1.130651
"786",19171,1658.9,2.104919
"787",19175,2558.245,1.404203
"788",19179,2043.166,1.753998
"789",19181,1628.486,4.674245
"790",19183,2698.836,1.400549
"791",19187,1941.495,1.883231
"792",19189,1858.621,1.742718
"793",19191,2478.501,1.722364
"794",19193,2182.203,2.034085
"795",19195,2186.661,1.858185
"796",19197,2854.321,1.431016
"797",20001,2151.401,1.605053
"798",20003,1933.07,1.376397
"799",20005,1583.115,2.63249
"800",20009,2163.607,1.566713
"801",20011,2105.694,1.410656
"802",20013,1913.945,1.569208
"803",20015,1561.49,3.512897
"804",20021,2100.137,1.84415
"805",20027,1832.672,1.371408
"806",20029,1415.708,1.424946
"807",20031,1533.397,1.59451
"808",20035,1538.516,1.610979
"809",20037,2390.574,1.622214
"810",20039,1542.237,2.210545
"811",20041,2657.382,2.692823
"812",20043,1966.628,1.759774
"813",20045,1933.99,1.249306
"814",20051,1569.892,2.530931
"815",20055,2143.152,2.091294
"816",20059,1675.171,1.449388
"817",20067,3881.754,2.121659
"818",20073,2383.691,3.422606
"819",20079,1164.647,2.452881
"820",20083,2392.947,1.496325
"821",20085,787.8773,1.5
"822",20087,1481.383,3.81997
"823",20091,1294.546,3.514451
"824",20095,960.0468,2.125405
"825",20099,1683.589,1.590563
"826",20103,1441.289,2.452906
"827",20107,1947.881,2.503341
"828",20109,2352.976,1.743217
"829",20111,1964.932,1.719222
"830",20113,1318.232,1.401127
"831",20115,1615.521,1.801086
"832",20117,1477.879,1.195845
"833",20119,2745.81,2.262235
"834",20121,1455.349,2.241784
"835",20125,1710.097,1.851568
"836",20127,1379.704,1.314656
"837",20133,2802.124,1.807922
"838",20139,705.3804,1.5
"839",20143,1701.899,1.504004
"840",20149,2076.861,1.766474
"841",20151,2826.224,1.741751
"842",20155,1091.462,2.428492
"843",20159,924.4747,1.286585
"844",20161,1783.144,1.609716
"845",20167,1501.616,2.321964
"846",20169,1855.267,1.911836
"847",20173,943.1266,1.73261
"848",20175,3784.875,2.230883
"849",20177,696.9231,1.446569
"850",20189,2709.994,2.954267
"851",20191,1164.194,2.560576
"852",20193,2019.844,1.303712
"853",20197,926.4406,2.24522
"854",20205,1853.259,1.992071
"855",20209,1227.71,3.346821
"856",21001,1826.154,2.416362
"857",21003,2524.619,2.53409
"858",21005,1929.388,3.331288
"859",21007,1192.473,1.800181
"860",21009,2552.197,2.590992
"861",21011,1419.382,2.486786
"862",21013,1499.787,4.277878
"863",21015,860.2059,1.586429
"864",21017,1265.659,2.398571
"865",21019,3550.278,1.902604
"866",21021,1111.046,1.958877
"867",21023,1208.129,4.048523
"868",21027,1450.704,2.037121
"869",21029,1131.707,1.612422
"870",21031,2355.798,2.861929
"871",21033,1835.546,2.085624
"872",21035,2233.745,2.021606
"873",21037,891.4731,1.780595
